Date,BTC-open,BTC-high,BTC-low,BTC-close,BTC-vol,BTC-marcap,ETH-open,ETH-high,ETH-low,ETH-close,ETH-vol,ETH-marcap
2-Nov-20,"13,737.03","13,808.32","13,243.16","13,550.49","30,771,455,468","251,119,864,445",396.36,403.24,381.02,383.16,"13,997,574,252","43,398,380,101"
1-Nov-20,"13,780.99","13,862.03","13,628.38","13,737.11","24,453,857,900","254,569,759,063",386.59,397.12,385.17,396.36,"10,475,146,018","44,888,307,221"
31-Oct-20,"13,546.53","14,028.21","13,457.53","13,780.99","30,306,464,719","255,372,071,116",382.82,393.01,381.3,386.59,"11,276,963,426","43,776,829,150"
30-Oct-20,"13,437.87","13,651.52","13,136.20","13,546.52","30,581,485,201","251,018,154,920",386.73,391.46,375.09,382.82,"13,688,056,970","43,344,676,043"
29-Oct-20,"13,271.30","13,612.05","12,980.06","13,437.88","56,499,499,598","248,995,322,466",388.65,393.23,381.29,386.73,"12,920,477,749","43,782,246,356"
28-Oct-20,"13,654.21","13,837.70","12,932.25","13,271.29","35,867,318,895","245,899,824,465",404,408.96,381.15,388.65,"15,276,441,134","43,994,384,280"
27-Oct-20,"13,075.24","13,759.67","13,060.84","13,654.22","33,749,878,156","252,985,946,390",393.89,409.77,390.61,404,"13,940,434,102","45,726,046,137"
26-Oct-20,"13,031.20","13,225.30","12,822.38","13,075.25","29,461,458,313","242,250,997,936",406.22,411.28,383.78,393.89,"15,155,684,229","44,576,504,574"
25-Oct-20,"13,108.06","13,329.18","12,910.06","13,031.17","24,406,920,575","241,425,217,440",412.46,417.16,405.35,406.22,"10,890,207,469","45,966,378,925"
24-Oct-20,"12,931.57","13,145.07","12,885.75","13,108.06","24,542,317,940","242,839,876,186",409.77,416.6,407.85,412.46,"12,201,739,194","46,666,915,712"
23-Oct-20,"12,971.55","13,015.96","12,752.65","12,931.54","28,974,975,003","239,557,562,148",414.05,418.96,403.08,409.77,"14,256,222,052","46,356,841,440"
22-Oct-20,"12,801.64","13,161.59","12,717.09","12,965.89","34,729,759,598","240,166,387,522",391.49,420.14,391.28,413.77,"15,772,846,485","46,795,599,921"
21-Oct-20,"11,913.08","13,184.57","11,900.93","12,823.69","43,414,712,626","237,532,386,963",369.06,400.63,368.73,392.19,"20,241,324,322","44,354,670,582"
20-Oct-20,"11,745.97","11,999.92","11,681.48","11,916.34","30,915,821,592","220,721,282,865",379.72,380.76,367.6,369.14,"13,741,586,582","41,745,418,861"
19-Oct-20,"11,495.04","11,799.09","11,408.29","11,742.04","23,860,769,928","217,482,407,293",378.47,383.32,373.7,379.94,"12,811,242,092","42,961,460,206"
18-Oct-20,"11,355.98","11,483.36","11,347.58","11,483.36","18,283,314,340","212,682,581,771",368.73,378.6,368.13,378.21,"11,047,103,109","42,761,561,164"
17-Oct-20,"11,322.12","11,386.26","11,285.35","11,358.10","19,130,430,174","210,353,665,235",366.02,369.77,364.49,368.86,"10,951,115,359","41,698,592,886"
16-Oct-20,"11,502.83","11,540.06","11,223.01","11,322.12","25,635,480,772","209,676,088,344",377.87,380.02,362.6,366.23,"14,670,784,817","41,396,681,083"
15-Oct-20,"11,426.60","11,569.91","11,303.60","11,495.35","24,487,233,058","212,873,103,428",379.19,381.21,371.35,377.44,"14,964,182,545","42,659,015,495"
14-Oct-20,"11,429.05","11,539.98","11,307.83","11,429.51","24,103,426,719","211,643,390,713",381.97,387.3,374.18,379.48,"13,918,846,567","42,884,585,295"
13-Oct-20,"11,548.72","11,548.98","11,321.22","11,425.90","24,241,420,251","211,565,586,739",387.14,387.38,375.58,381.19,"14,226,744,838","43,072,303,018"
